#,Symbol,Signal,Entry,Exit,Reason,Alloc_EUR,Pyr_EUR,Ret%,PnL_EUR,PnL_Pyr_EUR,Hold_d,W/L
106,ORCL,rsi_macd,2025-09-08,2025-11-06,ema_cross,41528,9863,-3.5,-1820,-2570,59,L
107,MSFT,rsi_macd,2025-03-24,2025-11-14,ema_cross,26350,4535,27.1,8369,605,235,W
108,NKE,rsi_macd,2025-10-02,2025-12-29,grace_exit,10638,0,-17.9,-1900,0,88,L
109,NESN.SW,ema_cross,2025-09-05,2026-01-06,ema_cross,34607,0,0.1,45,0,123,W
110,ARKK,rsi_macd,2026-01-06,2026-01-27,ema_cross,30710,0,-2.0,-626,0,21,L
111,NKE,rsi_macd,2025-11-14,2026-02-12,grace_exit,39760,0,-5.3,-2111,0,90,L
112,WMT,rsi_macd,2025-11-10,2026-03-13,end_of_data,41784,7294,21.6,10604,534,123,W
113,NKE,rsi_macd,2026-01-02,2026-03-13,end_of_data,14943,0,-15.1,-2255,0,70,L
114,CSCO,rsi_macd,2026-01-27,2026-03-13,end_of_data,24375,0,1.5,360,0,45,W
115,MC.PA,rsi_macd,2026-02-23,2026-03-13,end_of_data,34994,0,-14.6,-5097,0,18,L
