entry_date,exit_date,ticker,trade_type,entry_price,exit_price,strike,position_eur,units,pnl_eur,pnl_pct,bars_held,max_r_mult,exit_reason
2020-10-07,2021-01-05,LSEG.L,option_eu,918.92,726.02,8537.1,1739.0,0.02,-365.13,-20.99,61,0.0,dte_exit
2020-10-09,2020-10-26,INDA,stock,33.04,31.96,,1242.0,37.5988,-40.78,-3.28,11,0.0,trailing_stop
2020-10-09,2020-10-28,WEAT,stock,29.28,29.28,,1242.0,42.4333,-0.0,-0.0,13,1.05,trailing_stop
2020-10-12,2020-10-23,BAS.DE,stock,40.25,38.2,,1242.0,30.8656,-63.3,-5.1,9,0.0,trailing_stop
2020-10-12,2020-10-23,IBM,stock,97.66,92.69,,1242.0,12.7213,-63.3,-5.1,9,0.0,trailing_stop
2020-10-13,2021-01-22,SOYB,stock,15.94,19.48,,1242.0,77.9633,276.68,22.27,69,10.7,trailing_stop
2020-10-23,2021-01-22,CORN,stock,13.8,15.82,,1230.0,89.0883,179.61,14.61,61,9.45,trailing_stop
2020-11-06,2020-11-19,ROG.SW,stock,263.15,249.74,,1148.0,4.3633,-58.5,-5.1,9,0.0,trailing_stop
2020-11-06,2020-12-09,BMY,stock,51.8,49.17,,1148.0,22.1661,-58.36,-5.08,22,0.26,trailing_stop
2020-11-06,2021-02-02,TMO,option_us,48.59,35.77,485.52,1607.0,0.33,-423.91,-26.37,58,0.0,dte_exit
2020-11-06,2021-02-02,ABBV,option_us,8.9,13.57,72.11,1607.0,1.81,843.69,52.49,58,1.37,dte_exit
2020-11-09,2020-11-10,JD,stock,83.93,71.27,,1148.0,13.6808,-173.21,-15.09,1,0.0,emergency_stop
2020-11-09,2021-05-04,AMAT,stock,69.87,124.85,,1148.0,16.4322,903.35,78.68,120,16.91,trailing_stop
2020-11-11,2020-12-21,SAN.MC,stock,1.86,2.07,,1131.0,608.6641,131.11,11.59,28,3.14,trailing_stop
2020-11-19,2020-12-21,WBC.AX,stock,15.02,15.03,,1125.0,74.9077,0.47,0.04,22,1.36,trailing_stop
2020-12-02,2020-12-18,INTC,stock,44.54,44.54,,1151.0,25.8356,-0.0,-0.0,12,1.31,trailing_stop
2020-12-10,2020-12-23,T,stock,16.59,15.74,,1145.0,69.017,-58.33,-5.1,9,0.0,trailing_stop
2020-12-21,2021-01-06,CBA.AX,stock,68.16,68.16,,1158.0,16.9891,-0.0,-0.0,9,0.29,trailing_stop
2020-12-21,2021-01-15,SAP,stock,114.33,115.09,,1158.0,10.1294,7.69,0.66,17,1.6,trailing_stop
2020-12-21,2021-03-04,CPER,stock,22.44,24.47,,1158.0,51.6012,104.69,9.04,49,6.88,trailing_stop
2020-12-28,2021-03-18,DBA,stock,13.96,14.97,,1152.0,82.5583,83.27,7.23,55,6.86,trailing_stop
2021-01-05,2021-01-22,WEAT,stock,31.08,31.08,,1116.0,35.8968,-0.0,-0.0,12,1.11,trailing_stop
2021-01-06,2021-04-06,LSEG.L,option_eu,1146.47,185.98,8546.59,1562.0,0.01,-1308.6,-83.78,62,0.27,dte_exit
2021-01-15,2021-04-06,TEL2-B.ST,option_eu,7.45,6.92,72.74,1563.0,2.1,-110.72,-7.08,55,0.05,dte_exit
2021-01-22,2021-02-04,NFLX,stock,58.27,55.3,,1162.0,19.9441,-59.21,-5.1,9,0.0,trailing_stop
2021-01-22,2021-05-11,GOOGL,stock,93.89,111.65,,1162.0,12.3771,219.8,18.91,75,5.03,trailing_stop
2021-01-27,2021-02-26,PHIA.AS,stock,39.88,37.85,,1162.0,29.1388,-59.21,-5.1,22,0.36,trailing_stop
2021-02-03,2021-02-17,SLV,stock,25.02,25.02,,1204.0,48.1153,-0.0,-0.0,9,0.19,trailing_stop
2021-02-04,2021-02-18,NOW,stock,116.09,116.09,,1198.0,10.3206,-0.0,-0.0,9,0.34,trailing_stop
2021-02-04,2021-04-06,AMZN,option_us,16.05,8.03,158.17,1677.0,1.04,-838.5,-49.99,41,0.02,dte_exit
2021-02-17,2021-03-04,DBB,stock,15.52,15.81,,1198.0,77.1779,22.23,1.85,11,3.01,trailing_stop
2021-02-18,2021-03-04,PICK,stock,33.42,33.42,,1198.0,35.8511,-0.0,-0.0,10,1.37,trailing_stop
2021-02-26,2021-03-03,BARC.L,stock,159.02,135.03,,1192.0,7.4975,-179.85,-15.09,3,1.04,emergency_stop
2021-03-03,2021-05-04,DE,option_us,41.79,46.29,311.44,1644.0,0.39,177.4,10.79,43,0.33,dte_exit
2021-03-05,2021-03-19,GE,stock,67.25,63.83,,1187.0,17.6485,-60.48,-5.1,10,0.35,trailing_stop
2021-03-05,2021-03-24,UCG.MI,stock,6.89,6.89,,1187.0,172.3742,-0.0,-0.0,13,1.27,trailing_stop
2021-03-05,2021-04-14,BARC.L,stock,165.93,165.93,,1187.0,7.1531,-0.0,-0.0,26,1.15,trailing_stop
2021-03-18,2021-03-31,BAMI.MI,stock,1.67,1.67,,1195.0,714.0484,-0.0,-0.0,9,0.12,trailing_stop
2021-03-19,2021-04-29,MRK,stock,63.51,60.89,,1189.0,18.7256,-48.94,-4.12,28,0.72,trailing_stop
2021-03-24,2021-09-28,PEP,stock,119.15,132.06,,1189.0,9.9808,128.89,10.84,130,4.23,trailing_stop
2021-04-06,2021-04-19,ASML,stock,605.28,605.28,,963.0,1.5917,-0.0,-0.0,9,0.26,trailing_stop
2021-04-06,2021-05-04,QQQ,stock,321.68,321.68,,963.0,2.9951,-0.0,-0.0,20,0.86,trailing_stop
2021-04-06,2021-05-12,SPY,stock,380.39,382.27,,963.0,2.5328,4.77,0.5,26,1.66,trailing_stop
2021-04-06,2021-07-06,SMH,option_us,19.32,9.25,117.73,1349.0,0.7,-702.93,-52.11,63,0.0,dte_exit
2021-04-15,2021-05-04,SAP,stock,127.46,127.46,,963.0,7.5587,-0.0,-0.0,13,1.08,trailing_stop
2021-04-19,2021-04-30,ED,stock,65.87,64.23,,963.0,14.6264,-24.03,-2.49,9,0.36,trailing_stop
2021-04-29,2021-05-12,RTX,stock,74.79,74.79,,959.0,12.8168,-0.0,-0.0,9,0.62,trailing_stop
2021-04-30,2021-05-19,CPER,stock,27.75,28.03,,956.0,34.4586,9.62,1.01,13,1.95,trailing_stop
2021-05-04,2021-07-06,STAN.L,option_eu,52.8,1.37,493.73,1490.0,0.28,-1451.24,-97.4,44,0.0,dte_exit
2021-05-04,2021-07-06,DLR,option_us,11.53,8.92,121.4,1490.0,1.29,-337.21,-22.63,43,0.53,dte_exit
2021-05-06,2021-06-18,ITX.MC,stock,26.15,26.2,,1064.0,40.702,2.24,0.21,31,1.6,trailing_stop
